Date,Equal_Weighted_Return,Equal_Weighted_Cumulative_Return
2019-01-03,-0.03670960057971456,-0.03670960057971451
2019-01-04,0.04448901494562669,0.006146240397073344
2019-01-07,0.014725034373285473,0.020961778371472173
2019-01-08,0.007918584849669808,0.029046350841776647
2019-01-09,0.007566749031331155,0.03683288632020343
2019-01-10,0.0029476014198744904,0.03988905640809359
2019-01-11,-0.0009580158221297098,0.038892826238795086
2019-01-14,-0.005327002383747748,0.033358641676962675
2019-01-15,0.021231629914358674,0.05529852992585238
2019-01-16,0.003788761801851526,0.059296804685585514
2019-01-17,0.006000142320725876,0.06565273627358925
2019-01-18,-0.0003086812248294093,0.06532378928171356
2019-01-22,-0.02145743678300154,0.042464671419773614
2019-01-23,-0.003833453176643275,0.03846843191358107
2019-01-24,0.007616524215488496,0.04637795187227112
2019-01-25,0.014130920109049263,0.06116423511404889
2019-01-28,-0.022550374762153748,0.037234583928032805
2019-01-29,-0.012300097491358375,0.024476497424309462
2019-01-30,0.032565171804252335,0.05783875057235077
2019-01-31,0.019633408038896294,0.07860773040169389
2019-02-01,-0.0023533113077934924,0.07606943063306604
2019-02-04,0.012340380490775396,0.08934853684157007
2019-02-05,0.009815243073284541,0.10004075752219688
2019-02-06,-0.0036390949955396267,0.09603760470660827
2019-02-07,-0.017087129569683324,0.07730946814174122
2019-02-08,-0.004391112711154433,0.07257888084233688
2019-02-11,-0.002728993850398831,0.06965181967245049
2019-02-12,0.01605881807197043,0.08682916364492255
2019-02-13,0.0008190845801890781,0.08771936865416374
2019-02-14,-0.001024157603577791,0.0866053725921978
2019-02-15,0.00867593575628547,0.09603269099724243
2019-02-19,0.0008397167389883276,0.09695304799435123
2019-02-20,0.00017497713701333242,0.09714498969812735
2019-02-21,-0.009394845218117932,0.08683748233807975
2019-02-22,0.009547458913443208,0.09721401854629264
2019-02-25,0.0044042343106573964,0.1020464061729085
2019-02-26,-0.0014015747877640593,0.10050180571507061
2019-02-27,0.00029380300587856763,0.10082513645356439
2019-02-28,-0.005156592412039929,0.09514862990794515
2019-03-01,0.0024001815203798403,0.09777718541151947
2019-03-04,-0.001657534411612027,0.09595758195041726
2019-03-05,0.001599401892426566,0.09771045858100802
2019-03-06,-0.007002850411818551,0.09002335644407644
2019-03-07,-0.010432451148064337,0.07865174102772454
2019-03-08,0.003121432451536555,0.0820186795760749
2019-03-11,0.026742117324379765,0.11095415005246889
2019-03-12,0.002769690502877153,0.1140311492110011
2019-03-13,0.012814191393139109,0.1283065575749096
2019-03-14,-0.001960415370210045,0.12609460805713102
2019-03-15,-0.001040439673873339,0.12492297455037349
2019-03-18,0.0012558954070377771,0.12633576014738268
2019-03-19,0.005726230956098777,0.13278541884409978
2019-03-20,0.004551916759070152,0.13794176377656653
2019-03-21,0.01361155239728893,0.15343091771927453
2019-03-22,-0.02459999160084162,0.12505652683122936
2019-03-25,-0.005084398009198954,0.11933629166597237
2019-03-26,0.0054177382792922274,0.12540056274073197
2019-03-27,-0.002522596562424706,0.12256163114981145
2019-03-28,0.003678455036509454,0.12669092363570678
2019-03-29,0.007427094354788744,0.13505896343423318
2019-04-01,0.01522453335138193,0.15233970647882256
2019-04-02,0.004235482301716042,0.15722042091117827
2019-04-03,0.007108921997341178,0.16544701061716616
2019-04-04,-0.003700408115687803,0.16113438104067423
2019-04-05,0.006271150708548068,0.16841602973705694
2019-04-08,0.0023093220192574536,0.17111427860218198
2019-04-09,-0.004203832942777919,0.16619110981803642
2019-04-10,0.004162867266028402,0.17104580861503127
2019-04-11,-0.006854917865176446,0.163018385780616
2019-04-12,-0.0004158727555093828,0.16253471811981335
2019-04-15,-0.0006565779973036869,0.16177142340279427
2019-04-16,0.003012010615454486,0.16527069126281524
2019-04-17,0.0035195584221051628,0.16937192953828162
2019-04-18,0.002713866038019419,0.1725454483036688
2019-04-22,0.006824316323200297,0.18054726934622178
2019-04-23,0.011198766662817118,0.19376794275005604
2019-04-24,-0.007057193130024076,0.18534329182563747
2019-04-25,0.0031723904367931604,0.18910366354894204
2019-04-26,-0.0059006911456868875,0.182087130090135
2019-04-29,0.006995736892832227,0.19035670063664867
2019-04-30,-0.01184810484989396,0.1762532296387318
2019-05-01,-0.005789124729497542,0.16944375297887881
2019-05-02,0.0011416462280380187,0.17077884402836974
2019-05-03,0.015131887950618594,0.18849493831116182
2019-05-06,-0.0024626726854947273,0.18556806428973416
2019-05-07,-0.01978023996327464,0.16211724348528822
2019-05-08,-0.0013050884325734981,0.16060057771352132
2019-05-09,-0.00670265730907268,0.15282146976839583
2019-05-10,-0.0006595422617937112,0.1520611352887804
2019-05-13,-0.03424377236074746,0.11261021602628718
2019-05-14,0.006405395521310153,0.11973692452098583
2019-05-15,0.009978708440108197,0.13091045282040414
2019-05-16,0.005764369953802672,0.13742943905508342
2019-05-17,-0.014485557473851118,0.12095313954320064
2019-05-20,-0.01188450844027118,0.10763116249515092
2019-05-21,0.008834570604583248,0.11741660820405087
2019-05-22,-0.010757322553721948,0.10539619732271399
2019-05-23,-0.01578422954965597,0.08794837000085542
